collection,collection.label,ref_area,ref_area.label,source,source.label,indicator,indicator.label,sex,sex.label,classif1,classif1.label,classif2,classif2.label,classif3,classif3.label,classif4,classif4.label,classif5,classif5.label,time,obs_value,obs_status,obs_status.label,note_classif,note_classif.label,note_indicator,note_indicator.label,notes_source,notes_source.label
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_F,Sex: Female,AGE_AGGREGATE_TOTAL,Aggregate age bands: Total,,,,,,,,,2014,15.21,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_F,Sex: Female,AGE_AGGREGATE_Y15-24,Aggregate age bands: 15-24,,,,,,,,,2014,32.55,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_F,Sex: Female,AGE_AGGREGATE_Y25-54,Aggregate age bands: 25-54,,,,,,,,,2014,14.59,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_F,Sex: Female,AGE_AGGREGATE_Y55-64,Aggregate age bands: 55-64,,,,,,,,,2014,8.58,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_F,Sex: Female,AGE_AGGREGATE_YGE65,Aggregate age bands: 65+,,,,,,,,,2014,0.73,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_YTHADULT_YGE15,Age: 15+,,,,,,,,,2014,17.49,,,,,,,S3:5,Data reference period: Annual or annual average
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_YTHADULT_Y15-64,Age: 15-64,,,,,,,,,2014,17.9,,,,,,,S3:5,Data reference period: Annual or annual average
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_YTHADULT_Y15-24,Age: 15-24,,,,,,,,,2014,39.05,,,,,,,S3:5,Data reference period: Annual or annual average
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_YTHADULT_YGE25,Age: 25+,,,,,,,,,2014,14.71,,,,,,,S3:5,Data reference period: Annual or annual average
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_M,Sex: Male,AGE_YTHADULT_YGE15,Age: 15+,,,,,,,,,2014,19.16,,,,,,,S3:5,Data reference period: Annual or annual average
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_M,Sex: Male,AGE_YTHADULT_Y15-64,Age: 15-64,,,,,,,,,2014,19.68,,,,,,,S3:5,Data reference period: Annual or annual average
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_M,Sex: Male,AGE_YTHADULT_Y15-24,Age: 15-24,,,,,,,,,2014,42.55,,,,,,,S3:5,Data reference period: Annual or annual average
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_M,Sex: Male,AGE_YTHADULT_YGE25,Age: 25+,,,,,,,,,2014,15.71,,,,,,,S3:5,Data reference period: Annual or annual average
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_F,Sex: Female,AGE_YTHADULT_YGE15,Age: 15+,,,,,,,,,2014,15.21,,,,,,,S3:5,Data reference period: Annual or annual average
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_F,Sex: Female,AGE_YTHADULT_Y15-64,Age: 15-64,,,,,,,,,2014,15.5,,,,,,,S3:5,Data reference period: Annual or annual average
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_F,Sex: Female,AGE_YTHADULT_Y15-24,Age: 15-24,,,,,,,,,2014,32.55,,,,,,,S3:5,Data reference period: Annual or annual average
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_F,Sex: Female,AGE_YTHADULT_YGE25,Age: 25+,,,,,,,,,2014,13.4,,,,,,,S3:5,Data reference period: Annual or annual average
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_10YRBANDS_TOTAL,10-year age bands: Total,,,,,,,,,2015,17.083,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_10YRBANDS_Y15-24,10-year age bands: 15-24,,,,,,,,,2015,39.796,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_M,Sex: Male,AGE_10YRBANDS_TOTAL,10-year age bands: Total,,,,,,,,,2015,17.073,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_M,Sex: Male,AGE_10YRBANDS_Y15-24,10-year age bands: 15-24,,,,,,,,,2015,39.245,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_F,Sex: Female,AGE_10YRBANDS_TOTAL,10-year age bands: Total,,,,,,,,,2015,17.096,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_F,Sex: Female,AGE_10YRBANDS_Y15-24,10-year age bands: 15-24,,,,,,,,,2015,40.847,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_AGGREGATE_TOTAL,Aggregate age bands: Total,,,,,,,,,2015,17.083,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_AGGREGATE_Y15-24,Aggregate age bands: 15-24,,,,,,,,,2015,39.796,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_AGGREGATE_Y25-54,Aggregate age bands: 25-54,,,,,,,,,2015,15.381,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_AGGREGATE_Y55-64,Aggregate age bands: 55-64,,,,,,,,,2015,10.951,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_AGGREGATE_YGE65,Aggregate age bands: 65+,,,,,,,,,2015,1.069,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_M,Sex: Male,AGE_AGGREGATE_TOTAL,Aggregate age bands: Total,,,,,,,,,2015,17.073,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_M,Sex: Male,AGE_AGGREGATE_Y15-24,Aggregate age bands: 15-24,,,,,,,,,2015,39.245,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_M,Sex: Male,AGE_AGGREGATE_Y25-54,Aggregate age bands: 25-54,,,,,,,,,2015,14.757,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_M,Sex: Male,AGE_AGGREGATE_Y55-64,Aggregate age bands: 55-64,,,,,,,,,2015,11.941,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_M,Sex: Male,AGE_AGGREGATE_YGE65,Aggregate age bands: 65+,,,,,,,,,2015,1.575,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_F,Sex: Female,AGE_AGGREGATE_TOTAL,Aggregate age bands: Total,,,,,,,,,2015,17.096,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_F,Sex: Female,AGE_AGGREGATE_Y15-24,Aggregate age bands: 15-24,,,,,,,,,2015,40.847,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_F,Sex: Female,AGE_AGGREGATE_Y25-54,Aggregate age bands: 25-54,,,,,,,,,2015,16.087,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_F,Sex: Female,AGE_AGGREGATE_Y55-64,Aggregate age bands: 55-64,,,,,,,,,2015,9.064,,,,,,,S3:5_T3:104,Data reference period: Annual or annual average | Age coverage - maximum age: 74 years old
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_YTHADULT_YGE15,Age: 15+,,,,,,,,,2015,17.08,,,,,,,S3:5,Data reference period: Annual or annual average
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_YTHADULT_Y15-64,Age: 15-64,,,,,,,,,2015,17.47,,,,,,,S3:5,Data reference period: Annual or annual average
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_YTHADULT_Y15-24,Age: 15-24,,,,,,,,,2015,39.8,,,,,,,S3:5,Data reference period: Annual or annual average
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_YTHADULT_YGE25,Age: 25+,,,,,,,,,2015,14.1,,,,,,,S3:5,Data reference period: Annual or annual average
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_M,Sex: Male,AGE_YTHADULT_YGE15,Age: 15+,,,,,,,,,2015,17.07,,,,,,,S3:5,Data reference period: Annual or annual average
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_M,Sex: Male,AGE_YTHADULT_Y15-64,Age: 15-64,,,,,,,,,2015,17.52,,,,,,,S3:5,Data reference period: Annual or annual average
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_M,Sex: Male,AGE_YTHADULT_Y15-24,Age: 15-24,,,,,,,,,2015,39.25,,,,,,,S3:5,Data reference period: Annual or annual average
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_M,Sex: Male,AGE_YTHADULT_YGE25,Age: 25+,,,,,,,,,2015,13.66,,,,,,,S3:5,Data reference period: Annual or annual average
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_F,Sex: Female,AGE_YTHADULT_YGE15,Age: 15+,,,,,,,,,2015,17.1,,,,,,,S3:5,Data reference period: Annual or annual average
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_F,Sex: Female,AGE_YTHADULT_Y15-64,Age: 15-64,,,,,,,,,2015,17.41,,,,,,,S3:5,Data reference period: Annual or annual average
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_F,Sex: Female,AGE_YTHADULT_Y15-24,Age: 15-24,,,,,,,,,2015,40.85,,,,,,,S3:5,Data reference period: Annual or annual average
YI,Yearly indicators,ALB,Albania,BA:480,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_F,Sex: Female,AGE_YTHADULT_YGE25,Age: 25+,,,,,,,,,2015,14.66,,,,,,,S3:5,Data reference period: Annual or annual average
YI,Yearly indicators,ARG,Argentina,BA:153,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_10YRBANDS_TOTAL,10-year age bands: Total,,,,,,,,,2014,7.03,,,,,I13:3888,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution.  The INDEC, based on  what is stated in decrees 181/15 and 55/16,  is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",S3:10_S4:31_T2:239,Data reference period: Third quarter | Geographical coverage: Urban areas only | Age coverage - minimum age: 10 years old
YI,Yearly indicators,ARG,Argentina,BA:153,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_10YRBANDS_YLT15,10-year age bands: <15,,,,,,,,,2014,13.93,,,,,I13:3888,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution.  The INDEC, based on  what is stated in decrees 181/15 and 55/16,  is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",S3:10_S4:31_T2:239,Data reference period: Third quarter | Geographical coverage: Urban areas only | Age coverage - minimum age: 10 years old
YI,Yearly indicators,ARG,Argentina,BA:153,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_10YRBANDS_Y15-24,10-year age bands: 15-24,,,,,,,,,2014,18.31,,,,,I13:3888,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution.  The INDEC, based on  what is stated in decrees 181/15 and 55/16,  is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",S3:10_S4:31_T2:239,Data reference period: Third quarter | Geographical coverage: Urban areas only | Age coverage - minimum age: 10 years old
YI,Yearly indicators,ARG,Argentina,BA:153,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_10YRBANDS_Y25-34,10-year age bands: 25-34,,,,,,,,,2014,8.07,,,,,I13:3888,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution.  The INDEC, based on  what is stated in decrees 181/15 and 55/16,  is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",S3:10_S4:31_T2:239,Data reference period: Third quarter | Geographical coverage: Urban areas only | Age coverage - minimum age: 10 years old
YI,Yearly indicators,ARG,Argentina,BA:153,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_10YRBANDS_Y35-44,10-year age bands: 35-44,,,,,,,,,2014,4.58,,,,,I13:3888,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution.  The INDEC, based on  what is stated in decrees 181/15 and 55/16,  is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",S3:10_S4:31_T2:239,Data reference period: Third quarter | Geographical coverage: Urban areas only | Age coverage - minimum age: 10 years old
YI,Yearly indicators,ARG,Argentina,BA:153,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_10YRBANDS_Y45-54,10-year age bands: 45-54,,,,,,,,,2014,3.35,,,,,I13:3888,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution.  The INDEC, based on  what is stated in decrees 181/15 and 55/16,  is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",S3:10_S4:31_T2:239,Data reference period: Third quarter | Geographical coverage: Urban areas only | Age coverage - minimum age: 10 years old
YI,Yearly indicators,ARG,Argentina,BA:153,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_10YRBANDS_Y55-64,10-year age bands: 55-64,,,,,,,,,2014,2.96,,,,,I13:3888,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution.  The INDEC, based on  what is stated in decrees 181/15 and 55/16,  is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",S3:10_S4:31_T2:239,Data reference period: Third quarter | Geographical coverage: Urban areas only | Age coverage - minimum age: 10 years old
YI,Yearly indicators,ARG,Argentina,BA:153,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_T,Sex: Total,AGE_10YRBANDS_YGE65,10-year age bands: 65+,,,,,,,,,2014,2.79,,,,,I13:3888,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution.  The INDEC, based on  what is stated in decrees 181/15 and 55/16,  is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",S3:10_S4:31_T2:239,Data reference period: Third quarter | Geographical coverage: Urban areas only | Age coverage - minimum age: 10 years old
YI,Yearly indicators,ARG,Argentina,BA:153,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_M,Sex: Male,AGE_10YRBANDS_TOTAL,10-year age bands: Total,,,,,,,,,2014,6.18,,,,,I13:3888,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution.  The INDEC, based on  what is stated in decrees 181/15 and 55/16,  is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",S3:10_S4:31_T2:239,Data reference period: Third quarter | Geographical coverage: Urban areas only | Age coverage - minimum age: 10 years old
YI,Yearly indicators,ARG,Argentina,BA:153,Labour force survey,UNE_DEAP_SEX_AGE_RT,Unemployment rate by sex and age (%),SEX_M,Sex: Male,AGE_10YRBANDS_YLT15,10-year age bands: <15,,,,,,,,,2014,18.09,,,,,I13:3888,"Remarks: Warning on the use of statistical series: Statistical series published after January 2007 and before December 2015 should be used with caution.  The INDEC, based on  what is stated in decrees 181/15 and 55/16,  is undertaking the investigations required to ensure the regularity of data collection, processing and dissemination procedures.",S3:10_S4:31_T2:239,Data reference period: Third quarter | Geographical coverage: Urban areas only | Age coverage - minimum age: 10 years old
